Steps per Episode,Reward per Episode,t per Episode,T per Episode,Epsilon per Episode,Reward Min per Episode,Reward Max per Episode,Reward Avg per Episode
190.0,-132.20000000000005,38.679,30.0,0.9,-100.0,0.8,-0.6994708994708996
15.0,-103.0,3.56,29.7,0.8955,-100.0,0.0,-7.357142857142857
74.0,-122.20000000000002,15.355,29.403,0.8910224999999999,-100.0,0.8,-1.6739726027397261
22.0,-106.8,4.761,29.10897,0.8865673875,-100.0,0.2,-5.085714285714285
173.0,-105.8,34.95,28.8178803,0.8821345505625,-100.0,0.8,-0.6151162790697675
20.0,-100.4,4.281,28.529701496999998,0.8777238778096875,-100.0,0.8,-5.28421052631579
75.0,-118.8,15.364,28.24440448203,0.8733352584206391,-100.0,0.8,-1.6054054054054057
254.0,-140.20000000000007,51.177,27.9619604372097,0.8689685821285359,-100.0,0.8,-0.5541501976284585
194.0,-118.19999999999999,39.142,27.682340832837603,0.8646237392178933,-100.0,0.8,-0.6124352331606218
77.0,-125.20000000000002,15.929,27.405517424509227,0.8603006205218038,-100.0,0.8,-1.6473684210526316
62.0,-108.6,12.789,27.131462250264136,0.8559991174191948,-100.0,0.8,-1.7803278688524589
52.0,-118.6,11.315,26.860147627761496,0.8517191218320987,-100.0,0.0,-2.325490196078431
43.0,-115.6,9.315,26.59154615148388,0.8474605262229382,-100.0,0.2,-2.7523809523809524
222.0,-145.80000000000007,44.727,26.32563068996904,0.8432232235918236,-100.0,0.8,-0.6597285067873304
32.0,-103.2,7.167,26.062374383069347,0.8390071074738644,-100.0,0.8,-3.329032258064516
300.0,-103.4,60.358,25.801750639238655,0.8348120719364951,-100.0,0.8,-0.3458193979933111
69.0,-112.6,14.348,25.543733132846267,0.8306380115768126,-100.0,0.8,-1.6558823529411764
70.0,-108.0,14.721,25.288295801517805,0.8264848215189285,-100.0,0.8,-1.565217391304348
94.0,-126.60000000000002,19.32,25.035412843502627,0.8223523974113339,-100.0,0.8,-1.3612903225806452
88.0,-118.2,17.935,24.7850587150676,0.8182406354242773,-100.0,0.8,-1.3586206896551725
126.0,-120.2,25.515,24.537208127916923,0.8141494322471559,-100.0,0.8,-0.9616
230.0,-137.40000000000006,46.592,24.291836046637755,0.8100786850859201,-100.0,0.8,-0.6
126.0,-128.60000000000002,25.715,24.04891768617138,0.8060282916604905,-100.0,0.8,-1.0288000000000002
15.0,-106.6,3.296,23.808428509309664,0.801998150202188,-100.0,0.0,-7.614285714285714
95.0,-119.2,19.372,23.570344224216566,0.7979881594511771,-100.0,0.8,-1.2680851063829788
18.0,-108.0,3.933,23.3346407819744,0.7939982186539212,-100.0,0.2,-6.352941176470588
162.0,-132.60000000000002,33.896,23.101294374154655,0.7900282275606516,-100.0,0.8,-0.8236024844720496
26.0,-101.2,5.543,22.870281430413108,0.7860780864228484,-100.0,0.8,-4.048
110.0,-105.4,22.524,22.641578616108976,0.7821476959907341,-100.0,0.8,-0.9669724770642202
45.0,-104.2,9.334,22.415162829947885,0.7782369575107804,-100.0,0.8,-2.368181818181818
40.0,-101.2,8.326,22.191011201648408,0.7743457727232265,-100.0,0.8,-2.594871794871795
23.0,-104.4,4.924,21.969101089631923,0.7704740438596104,-100.0,0.8,-4.745454545454546
14.0,-103.6,3.324,21.749410078735604,0.7666216736403123,-100.0,0.0,-7.9692307692307685
147.0,-125.80000000000003,29.929,21.53191597794825,0.7627885652721107,-100.0,0.8,-0.8616438356164384
105.0,-120.2,21.351,21.316596818168765,0.7589746224457501,-100.0,0.8,-1.1557692307692309
25.0,-105.6,5.336,21.103430849987078,0.7551797493335214,-100.0,0.8,-4.4
37.0,-114.8,7.916,20.892396541487205,0.7514038505868538,-100.0,0.2,-3.1888888888888887
33.0,-109.0,6.911,20.683472576072333,0.7476468313339195,-100.0,0.0,-3.40625
28.0,-106.0,6.745,20.476637850311608,0.7439085971772499,-100.0,0.8,-3.925925925925926
203.0,-136.20000000000007,41.126,20.271871471808492,0.7401890541913636,-100.0,0.8,-0.6742574257425743
23.0,-107.2,4.928,20.069152757090407,0.7364881089204068,-100.0,0.8,-4.872727272727273
227.0,-141.00000000000006,45.741,19.868461229519504,0.7328056683758049,-100.0,0.8,-0.6238938053097345
42.0,-108.8,8.911,19.669776617224308,0.7291416400339258,-100.0,0.8,-2.653658536585366
148.0,-119.4,29.926,19.473078851052065,0.7254959318337562,-100.0,0.8,-0.8122448979591838
104.0,-116.19999999999999,21.926,19.278348062541543,0.7218684521745874,-100.0,0.8,-1.1281553398058253
166.0,-125.00000000000003,33.575,19.085564581916127,0.7182591099137144,-100.0,0.8,-0.7575757575757577
26.0,-107.2,5.524,18.894708936096965,0.7146678143641458,-100.0,0.0,-4.288
33.0,-114.6,6.937,18.705761846735996,0.7110944752923251,-100.0,0.2,-3.58125
21.0,-102.6,4.513,18.518704228268636,0.7075390029158635,-100.0,0.8,-5.13
38.0,-101.6,7.922,18.33351718598595,0.7040013079012841,-100.0,0.8,-2.745945945945946
42.0,-111.0,8.729,18.15018201412609,0.7004813013617777,-100.0,0.8,-2.707317073170732
27.0,-108.8,6.501,17.96868019398483,0.6969788948549688,-100.0,0.8,-4.184615384615385
58.0,-119.2,11.96,17.788993392044983,0.693494000380694,-100.0,0.8,-2.0912280701754384
63.0,-110.0,12.909,17.611103458124532,0.6900265303787905,-100.0,0.8,-1.7741935483870968
153.0,-125.00000000000001,31.338,17.434992423543285,0.6865763977268965,-100.0,0.8,-0.8223684210526315
94.0,-114.8,19.144,17.260642499307853,0.683143515738262,-100.0,0.8,-1.2344086021505376
168.0,-109.4,33.919,17.088036074314775,0.6797277981595707,-100.0,0.8,-0.6550898203592814
27.0,-110.6,5.91,16.917155713571628,0.6763291591687729,-100.0,0.2,-4.253846153846154
146.0,-133.60000000000005,29.728,16.747984156435912,0.672947513372929,-100.0,0.8,-0.9213793103448276
81.0,-114.19999999999999,16.556,16.580504314871554,0.6695827758060644,-100.0,0.8,-1.4275
30.0,-108.2,6.749,16.41469927172284,0.6662348619270341,-100.0,0.8,-3.731034482758621
13.0,-104.8,3.512,16.25055227900561,0.6629036876173989,-100.0,0.0,-8.733333333333333
38.0,-110.8,7.912,16.088046756215554,0.659589169179312,-100.0,0.8,-2.9945945945945946
18.0,-108.8,3.955,15.9271662886534,0.6562912233334154,-100.0,0.2,-6.3999999999999995
192.0,-136.20000000000005,38.731,15.767894625766866,0.6530097672167483,-100.0,0.8,-0.7130890052356021
