type,agent_init,scenario,avg_steps,avg_reward,avg_last_10_reward,avg_episode_time,avg_success,avg_obstacle,avg_experiment_duration,train_score,test_score,experiment_score
epsilongreedy,random,Scenario_1_Moderate,249.745,-38.71000000000004,71.5999999999999,50.50647,1.0,57.6,43.2373,0.6098234916959036,0.6122239342578325,0.6110237129768681
epsilongreedy,random,Scenario_2_Fast_Learning_High_Exploration,138.44,-86.92200000000001,-86.70000000000002,28.18712,0.0,111.9,60.0,0.20180508927043309,0.3333333333333333,0.2675692113018832
epsilongreedy,random,Scenario_3_Fast_Learning_Low_Exploration,208.225,-58.88500000000002,4.299999999999973,42.202355,1.0,57.6,43.883,0.4459767657285437,0.6250639500866272,0.5355203579075855
epsilongreedy,random,Scenario_4_Slow_Learning_High_Exploration,117.455,-103.583,-89.42000000000003,24.007605,0.0,78.7,60.0,0.13925881624483225,0.5038520801232665,0.3215554481840494
epsilongreedy,random,Scenario_5_Slow_Learning_Low_Exploration,243.6,-32.83000000000003,-33.720000000000034,49.237315,0.0,101.6,60.0,0.5060650905661667,0.3862352336928609,0.44615016212951375
epsilongreedy,constant,Scenario_1_Moderate,163.29,-79.60100000000001,-31.58000000000005,33.01464,0.9,59.6,45.2955,0.3061175697439079,0.609546559136119,0.45783206444001345
epsilongreedy,constant,Scenario_2_Fast_Learning_High_Exploration,153.64,-80.31900000000002,-83.42000000000004,31.08404,0.0,90.5,60.0,0.23890774919252866,0.44324601951720605,0.3410768843548674
epsilongreedy,constant,Scenario_3_Fast_Learning_Low_Exploration,122.595,-88.32600000000001,-101.08,24.85696,0.0,90.1,60.0,0.16013848119089,0.44530046224961484,0.30271947172025243
epsilongreedy,constant,Scenario_4_Slow_Learning_High_Exploration,55.845,-107.251,-108.23999999999998,11.502715,0.0,100.0,60.0,0.018449700504294442,0.39445300462249616,0.2064513525633953
epsilongreedy,constant,Scenario_5_Slow_Learning_Low_Exploration,256.81,-16.615000000000045,22.19999999999996,51.726905,1.0,55.0,43.623000000000005,0.6077029633187027,0.6332476185930077,0.6204752909558552
softmax,random,Scenario_1_Moderate,260.55,-54.28700000000004,-9.500000000000034,52.646550000000005,0.0,83.0,60.0,0.5209971658038284,0.4817668207498716,0.50138199327685
softmax,random,Scenario_2_Fast_Learning_High_Exploration,169.57,-87.587,-102.32,34.47233,0.0,79.2,60.0,0.23382430219244513,0.5012840267077555,0.3675541644501003
softmax,random,Scenario_3_Fast_Learning_Low_Exploration,169.135,-97.21500000000002,-76.22000000000008,34.354260000000004,0.7,75.1,49.145500000000006,0.2429071732056743,0.5398291043923252,0.3913681387989998
softmax,random,Scenario_4_Slow_Learning_High_Exploration,112.475,-114.242,-115.3,23.00644,0.0,78.2,60.0,0.08849767399329955,0.5064201335387776,0.29745890376603856
softmax,random,Scenario_5_Slow_Learning_Low_Exploration,169.905,-70.043,-60.22000000000005,34.51347,0.0,101.3,60.0,0.30456106965017615,0.38777606574216744,0.34616856769617177
softmax,constant,Scenario_1_Moderate,378.155,37.79699999999994,138.49999999999994,76.02516,1.0,47.0,43.6208,1.0,0.6742927253167251,0.8371463626583626
softmax,constant,Scenario_2_Fast_Learning_High_Exploration,359.625,22.09299999999993,96.83999999999988,72.318775,0.0,79.1,60.0,0.9044077843091483,0.5017976373908578,0.703102710850003
softmax,constant,Scenario_3_Fast_Learning_Low_Exploration,175.815,-75.26500000000001,-14.440000000000053,35.514354999999995,0.7,48.2,48.514,0.3495311654327092,0.665432735284989,0.5074819503588491
softmax,constant,Scenario_4_Slow_Learning_High_Exploration,95.61,-108.297,-97.52000000000004,19.45932,0.8,66.4,47.7323,0.08896182195583902,0.589744491316535,0.339353156636187
softmax,constant,Scenario_5_Slow_Learning_Low_Exploration,211.195,-31.141000000000048,75.93999999999984,42.59941,0.1,103.3,58.8227,0.5660061357688998,0.38742608020168684,0.4767161079852933
