steps_per_episode,reward_per_episode,t_per_episode
192.0,-67.0,38.855
500.0,95.4,100.457
112.0,-90.2,22.809
500.0,136.79999999999993,100.381
283.0,-69.60000000000002,57.029
25.0,-101.2,5.346
28.0,-113.19999999999997,5.889
500.0,115.19999999999992,100.357
500.0,125.99999999999989,100.397
201.0,-73.6,40.604
500.0,132.19999999999993,100.333
196.0,-65.20000000000002,39.612
500.0,134.59999999999997,100.35
