Steps per Episode,Reward per Episode,t per Episode,T per Episode,Epsilon per Episode,Reward Min per Episode,Reward Max per Episode,Reward Avg per Episode
14.0,-103.0,4.059,35.0,0.8,-100.0,0.0,-7.923076923076923
18.0,-104.4,4.117,32.550000000000004,0.76,-100.0,0.8,-6.141176470588236
83.0,-123.00000000000001,16.929,30.271500000000007,0.722,-100.0,0.8,-1.5
30.0,-109.4,6.529,28.15249500000001,0.6859,-100.0,0.2,-3.7724137931034485
47.0,-118.2,9.949,26.18182035000001,0.6516049999999999,-100.0,0.2,-2.5695652173913044
241.0,-137.80000000000004,48.643,24.34909292550001,0.6190247499999999,-100.0,0.8,-0.5741666666666666
154.0,-123.80000000000001,31.168,22.64465642071501,0.5880735124999998,-100.0,0.8,-0.8091503267973856
120.0,-126.60000000000002,24.878,21.05953047126496,0.5586698368749998,-100.0,0.8,-1.0638655462184874
120.0,-105.39999999999999,24.549,19.585363338276412,0.5307363450312498,-100.0,0.8,-0.8857142857142858
114.0,-124.00000000000001,23.152,18.214387904597064,0.5041995277796872,-100.0,0.8,-1.0973451327433628
48.0,-117.6,11.093,16.93938075127527,0.4789895513907029,-100.0,0.8,-2.502127659574468
269.0,-136.4000000000001,54.547,15.753624098686002,0.45504007382116773,-100.0,0.8,-0.508955223880597
22.0,-111.19999999999999,5.361,14.650870411777982,0.43228807013010934,-100.0,0.2,-5.295238095238095
80.0,-103.6,16.758,13.625309482953524,0.41067366662360383,-100.0,0.8,-1.3113924050632912
203.0,-122.80000000000003,41.717,12.671537819146778,0.3901399832924236,-100.0,0.8,-0.6079207920792079
234.0,-122.60000000000005,47.168,11.784530171806503,0.37063298412780243,-100.0,0.8,-0.5261802575107296
67.0,-103.0,13.725,10.959613059780049,0.3521013349214123,-100.0,0.8,-1.5606060606060606
32.0,-99.0,6.705,10.192440145595446,0.33449626817534167,-100.0,0.8,-3.193548387096774
52.0,-117.8,10.753,9.478969335403766,0.3177714547665746,-100.0,0.2,-2.3098039215686277
25.0,-106.8,5.328,8.815441481925504,0.30188288202824587,-100.0,0.8,-4.45
94.0,-124.4,19.32,8.19836057819072,0.28678873792683357,-100.0,0.8,-1.3376344086021505
72.0,-109.2,14.932,7.624475337717369,0.27244930103049186,-100.0,0.8,-1.5380281690140845
78.0,-121.40000000000002,15.962,7.090762064077154,0.2588268359789673,-100.0,0.8,-1.5766233766233766
127.0,-121.80000000000001,26.737,6.594408719591754,0.2458854941800189,-100.0,0.8,-0.9666666666666668
500.0,-76.79999999999984,100.565,6.132800109220331,0.23359121947101794,-0.6000000000000001,0.8,-0.15390781563126255
287.0,-119.4,57.777,5.703504101574908,0.22191165849746702,-100.0,0.8,-0.4174825174825175
26.0,-110.8,5.927,5.3042588144646645,0.21081607557259366,-100.0,0.0,-4.4319999999999995
164.0,-138.40000000000003,33.14,4.932960697452138,0.20027527179396395,-100.0,0.8,-0.849079754601227
51.0,-107.0,10.529,4.587653448630489,0.19026150820426574,-100.0,0.2,-2.14
151.0,-122.20000000000002,30.52,4.266517707226355,0.18074843279405245,-100.0,0.8,-0.8146666666666668
34.0,-106.0,7.338,3.9678614677205104,0.1717110111543498,-100.0,0.8,-3.212121212121212
45.0,-109.2,9.35,3.690111164980075,0.1631254605966323,-100.0,0.8,-2.481818181818182
500.0,-15.99999999999998,100.342,3.4318033834314696,0.15496918756680067,-0.6000000000000001,0.8,-0.03206412825651305
20.0,-104.4,4.781,3.191577146591267,0.14722072818846063,-100.0,0.8,-5.494736842105263
433.0,-133.4000000000001,88.152,2.9681667463298784,0.1398596917790376,-100.0,0.8,-0.3087962962962963
105.0,-127.00000000000003,22.1,2.760395074086787,0.1328667071900857,-100.0,0.8,-1.2211538461538463
247.0,-129.00000000000009,49.714,2.567167418900712,0.1262233718305814,-100.0,0.8,-0.524390243902439
500.0,1.4000000000000128,100.541,2.387465699577662,0.11991220323905233,-0.6000000000000001,0.8,0.002805611222444873
350.0,-108.6,71.393,2.220343100607226,0.11391659307709971,-100.0,0.8,-0.31117478510028657
33.0,-113.19999999999999,6.923,2.06491908356472,0.10822076342324471,-100.0,0.0,-3.5374999999999996
382.0,-163.80000000000018,76.748,1.9203747477151898,0.10280972525208247,-100.0,0.8,-0.4299212598425197
313.0,-140.0000000000001,63.135,1.7859485153751267,0.09766923898947834,-100.0,0.8,-0.44871794871794873
28.0,-115.0,6.324,1.660932119298868,0.09766923898947834,-100.0,0.0,-4.2592592592592595
73.0,-109.2,15.177,1.5446668709479472,0.09766923898947834,-100.0,0.8,-1.5166666666666668
80.0,-94.6,16.344,1.436540189981591,0.09766923898947834,-100.0,0.8,-1.1974683544303797
155.0,-114.0,31.513,1.3359823766828798,0.09766923898947834,-100.0,0.8,-0.7402597402597403
53.0,-101.6,10.927,1.2424636103150783,0.09766923898947834,-100.0,0.8,-1.9538461538461538
29.0,-106.2,6.114,1.155491157593023,0.09766923898947834,-100.0,0.8,-3.792857142857143
85.0,-109.4,17.758,1.0746067765615113,0.09766923898947834,-100.0,0.8,-1.3023809523809524
29.0,-113.19999999999999,6.094,0.9993843022022055,0.09766923898947834,-100.0,0.0,-4.042857142857143
44.0,-114.8,9.724,0.9294274010480512,0.09766923898947834,-100.0,0.8,-2.669767441860465
97.0,-101.0,19.941,0.8643674829746877,0.09766923898947834,-100.0,0.8,-1.0520833333333333
22.0,-102.4,4.756,0.8038617591664596,0.09766923898947834,-100.0,0.2,-4.876190476190477
46.0,-115.19999999999999,9.719,0.7475914360248075,0.09766923898947834,-100.0,0.2,-2.56
51.0,-108.6,10.917,0.695260035503071,0.09766923898947834,-100.0,0.2,-2.172
73.0,-117.4,15.139,0.646591833017856,0.09766923898947834,-100.0,0.8,-1.6305555555555555
52.0,-106.8,10.917,0.6013304047066061,0.09766923898947834,-100.0,0.2,-2.0941176470588236
29.0,-104.2,6.119,0.5592372763771437,0.09766923898947834,-100.0,0.2,-3.7214285714285715
87.0,-112.6,17.961,0.5200906670307437,0.09766923898947834,-100.0,0.8,-1.3093023255813954
95.0,-95.6,19.556,0.48368432033859166,0.09766923898947834,-100.0,0.8,-1.0170212765957447
