Steps per Episode,Reward per Episode,t per Episode,T per Episode,Epsilon per Episode,Reward Min per Episode,Reward Max per Episode,Reward Avg per Episode
165.0,-117.19999999999999,33.323,10.0,0.4,-100.0,0.8,-0.7146341463414634
18.0,-109.0,3.9370000000000003,9.200000000000001,0.392,-100.0,0.0,-6.411764705882353
101.0,-130.20000000000005,20.526,8.464000000000002,0.38416,-100.0,0.8,-1.3019999999999998
148.0,-118.60000000000002,30.123,7.786880000000003,0.3764768,-100.0,0.8,-0.8068027210884354
26.0,-104.8,6.144,7.163929600000003,0.368947264,-100.0,0.2,-4.192
88.0,-119.6,17.934,6.590815232000003,0.36156831872,-100.0,0.8,-1.374712643678161
23.0,-111.2,4.888,6.063550013440003,0.3543369523456,-100.0,0.2,-5.054545454545455
41.0,-115.0,8.523,5.578466012364803,0.347250213298688,-100.0,0.0,-2.875
94.0,-118.80000000000001,19.536,5.132188731375619,0.3403052090327142,-100.0,0.8,-1.2774193548387098
175.0,-122.60000000000001,35.742,4.721613632865569,0.3334991048520599,-100.0,0.8,-0.7045977011494253
167.0,-124.80000000000003,33.947,4.343884542236324,0.3268291227550187,-100.0,0.8,-0.7518072289156627
102.0,-118.0,20.721,3.9963737788574187,0.3202925402999183,-100.0,0.8,-1.1683168316831682
50.0,-105.0,10.38,3.6766638765488255,0.31388668949391996,-100.0,0.8,-2.142857142857143
15.0,-103.0,3.48,3.3825307664249196,0.30760895570404156,-100.0,0.0,-7.357142857142857
159.0,-127.40000000000003,32.13,3.111928305110926,0.30145677658996073,-100.0,0.8,-0.8063291139240507
45.0,-113.0,9.779,2.8629740407020523,0.2954276410581615,-100.0,0.8,-2.5681818181818183
215.0,-111.59999999999998,43.347,2.6339361174458884,0.28951908823699823,-100.0,0.8,-0.5214953271028038
41.0,-116.19999999999999,8.534,2.4232212280502172,0.2837287064722583,-100.0,0.2,-2.905
19.0,-103.0,4.138,2.2293635298062,0.2780541323428131,-100.0,0.0,-5.722222222222222
21.0,-102.2,4.5120000000000005,2.051014447421704,0.27249304969595683,-100.0,0.8,-5.11
