Steps per Episode,Reward per Episode,t per Episode,T per Episode,Epsilon per Episode,Reward Min per Episode,Reward Max per Episode,Reward Avg per Episode
64.0,-108.0,14.617,25.0,0.5,-100.0,0.8,-1.7142857142857142
22.0,-105.0,4.766,23.75,0.485,-100.0,0.8,-5.0
250.0,-146.00000000000009,50.314,22.5625,0.47045,-100.0,0.8,-0.5863453815261044
202.0,-127.00000000000001,41.149,21.434375,0.4563365,-100.0,0.8,-0.6318407960199006
34.0,-107.0,7.125,20.362656249999997,0.44264640499999997,-100.0,0.8,-3.242424242424242
41.0,-105.8,8.705,19.344523437499998,0.42936701284999995,-100.0,0.8,-2.645
21.0,-108.2,5.753,18.377297265624996,0.41648600246449996,-100.0,0.2,-5.41
190.0,-123.40000000000002,38.743,17.458432402343746,0.40399142239056496,-100.0,0.8,-0.6529100529100529
78.0,-112.0,16.514,16.585510782226557,0.391871679718848,-100.0,0.8,-1.4545454545454546
103.0,-112.8,21.579,15.756235243115228,0.38011552932728254,-100.0,0.8,-1.1058823529411765
23.0,-105.6,5.084,14.968423480959466,0.36871206344746404,-100.0,0.2,-4.8
108.0,-107.2,21.965,14.220002306911491,0.3576507015440401,-100.0,0.8,-1.0018691588785047
190.0,-104.6,38.345,13.509002191565916,0.3469211804977189,-100.0,0.8,-0.5534391534391535
28.0,-108.4,6.118,12.83355208198762,0.33651354508278736,-100.0,0.0,-4.014814814814815
25.0,-105.6,5.327,12.191874477888238,0.32641813873030373,-100.0,0.8,-4.3999999999999995
23.0,-107.0,4.958,11.582280753993825,0.3166255945683946,-100.0,0.2,-4.863636363636363
359.0,-164.40000000000015,72.539,11.003166716294134,0.3071268267313428,-100.0,0.8,-0.45921787709497214
148.0,-114.0,29.926,10.453008380479426,0.2979130219294025,-100.0,0.8,-0.7755102040816326
479.0,-93.80000000000003,96.132,9.930357961455455,0.28897563127152043,-100.0,0.8,-0.19623430962343097
30.0,-104.8,6.341,9.433840063382682,0.2803063623333748,-100.0,0.2,-3.613793103448276
135.0,-121.60000000000002,27.38,8.962148060213547,0.27189717146337355,-100.0,0.8,-0.9074626865671642
28.0,-98.0,6.33,8.51404065720287,0.26374025631947234,-100.0,0.8,-3.6296296296296298
229.0,-122.20000000000002,46.162,8.088338624342725,0.25582804862988817,-100.0,0.8,-0.5359649122807018
46.0,-101.19999999999999,10.11,7.683921693125589,0.2481532071709915,-100.0,0.8,-2.248888888888889
173.0,-121.60000000000004,35.925,7.299725608469309,0.24070861095586177,-100.0,0.8,-0.7069767441860465
37.0,-116.19999999999999,8.114,6.934739328045843,0.2334873526271859,-100.0,0.0,-3.227777777777778
183.0,-119.0,37.334,6.588002361643551,0.2264827320483703,-100.0,0.8,-0.653846153846154
45.0,-106.6,9.566,6.2586022435613735,0.2196882500869192,-100.0,0.8,-2.4227272727272724
350.0,-111.60000000000005,70.449,5.945672131383304,0.21309760258431162,-100.0,0.8,-0.3197707736389685
19.0,-107.0,4.121,5.648388524814139,0.20670467450678226,-100.0,0.2,-5.944444444444445
268.0,-139.80000000000004,53.963,5.365969098573431,0.2005035342715788,-100.0,0.8,-0.5235955056179775
59.0,-103.2,12.493,5.097670643644759,0.19448842824343143,-100.0,0.8,-1.7793103448275862
81.0,-101.4,16.563,4.8427871114625205,0.1886537753961285,-100.0,0.8,-1.2675
32.0,-113.0,6.7379999999999995,4.600647755889394,0.18299416213424463,-100.0,0.2,-3.6451612903225805
203.0,-122.8,40.933,4.370615368094924,0.17750433727021728,-100.0,0.8,-0.607920792079208
40.0,-104.8,8.366,4.152084599690178,0.17217920715211074,-100.0,0.8,-2.687179487179487
36.0,-110.0,7.904,3.9444803697056687,0.1670138309375474,-100.0,0.8,-3.142857142857143
107.0,-114.8,21.714,3.747256351220385,0.16200341600942098,-100.0,0.8,-1.0830188679245283
81.0,-120.00000000000001,16.526,3.5598935336593653,0.15714331352913835,-100.0,0.8,-1.5
188.0,-131.20000000000002,38.143,3.381898856976397,0.1524290141232642,-100.0,0.8,-0.7016042780748664
39.0,-112.6,8.131,3.212803914127577,0.1478561436995663,-100.0,0.2,-2.9631578947368418
113.0,-97.4,23.334,3.052163718421198,0.1434204593885793,-100.0,0.8,-0.8696428571428572
293.0,-121.00000000000007,59.131,2.8995555325001376,0.13911784560692192,-100.0,0.8,-0.4143835616438356
50.0,-104.0,10.39,2.7545777558751308,0.13494431023871425,-100.0,0.8,-2.122448979591837
232.0,-127.80000000000004,46.908,2.616848868081374,0.13089598093155283,-100.0,0.8,-0.5532467532467533
50.0,-102.4,10.339,2.486006424677305,0.12696910150360624,-100.0,0.8,-2.089795918367347
500.0,-51.2,100.612,2.36170610344344,0.12316002845849805,-0.6000000000000001,0.8,-0.10260521042084171
166.0,-110.2,33.644,2.2436207982712677,0.11946522760474311,-100.0,0.8,-0.6678787878787878
23.0,-103.8,4.914,2.131439758357704,0.11588127077660082,-100.0,0.2,-4.718181818181818
500.0,-39.6000000000001,100.344,2.0248677704398186,0.1124048326533028,-0.6000000000000001,0.8,-0.07935871743486977
500.0,-28.000000000000156,100.452,1.9236243819178276,0.10903268767370371,-0.6000000000000001,0.8,-0.056112224448897824
94.0,-125.20000000000002,20.031,1.827443162821936,0.1057617070434926,-100.0,0.8,-1.346236559139785
28.0,-105.0,5.947,1.7360710046808392,0.10258885583218781,-100.0,0.8,-3.888888888888889
213.0,-138.00000000000003,42.927,1.6492674544467971,0.09951119015722218,-100.0,0.8,-0.6509433962264151
500.0,-6.000000000000035,100.377,1.5668040817244573,0.09652585445250551,-0.6000000000000001,0.8,-0.012024048096192399
421.0,-131.20000000000005,84.594,1.4884638776382344,0.09363007881893035,-100.0,0.8,-0.31238095238095237
33.0,-108.2,6.923,1.4140406837563226,0.09082117645436243,-100.0,0.2,-3.3812499999999996
500.0,15.39999999999996,100.34,1.3433386495685065,0.08809654116073155,-0.6000000000000001,0.8,0.030861723446893755
96.0,-130.40000000000003,19.796,1.276171717090081,0.08545364492590961,-100.0,0.8,-1.3726315789473684
500.0,1.4876988529977098e-14,100.349,1.212363131235577,0.08289003557813232,-0.6000000000000001,0.8,-1.779916672745742e-17
500.0,1.800000000000005,100.79,1.151744974673798,0.08040333451078835,-0.6000000000000001,0.8,0.0036072144288577064
500.0,-34.80000000000005,100.398,1.094157725940108,0.0779912344754647,-0.6000000000000001,0.8,-0.06973947895791584
244.0,-115.39999999999999,49.217,1.0394498396431027,0.07565149744120075,-100.0,0.8,-0.4748971193415638
500.0,7.399999999999972,100.544,0.9874773476609475,0.07338195251796473,-0.6000000000000001,0.8,0.014829659318637264
35.0,-117.8,7.599,0.9381034802779001,0.07118049394242579,-100.0,0.2,-3.4647058823529413
500.0,5.199999999999995,100.478,0.8911983062640051,0.06904507912415302,-0.6000000000000001,0.8,0.010420841683366718
